Load,Deflection,,,,
0,0,,,,
5,0.76,,,,
10,5.1,,,,
15,5.19,,,,
20,5.21,,,,
25,5.23,,,,
30,5.24,,,,
35,5.25,,,,
40,5.26,,,,
45,5.265,,,,
50,5.27,,,,
55,5.275,,,,
60,5.28,,,,
65,5.285,,,,
70,5.29,,,,
75,5.295,,,,
80,5.3,,,,
85,5.3,,,,
90,5.3,,,,
95,5.31,,,,
100,5.31,,,,
105,5.315,,,,
110,5.32,,,,
115,5.33,,,,
120,5.34,,,,
125,5.34,,,,
130,5.345,,,,
135,5.35,,,,
140,5.35,,,,
145,5.35,,,,
150,5.355,,,,
155,5.36,,,,
160,5.365,,,,
165,5.37,,,,
170,5.375,,,,
175,5.38,,,,
180,5.385,,,,
190,5.39,,,,
195,5.395,,,,
200,5.4,,,,
205,5.405,,,,
210,5.41,,,,
215,5.415,,,,
220,5.42,,,,
225,5.425,,,,
230,5.43,,,,
235,5.435,,,,
240,5.44,,,,
245,5.445,,,,
250,5.45,,,,
255,5.455,,,,
260,5.46,,,,
265,5.465,,,,
270,5.47,,,,
275,5.475,,,,
280,5.48,,,,
285,5.485,,,,
290,5.49,,,,
295,5.495,,,,
300,5.5,,,,
305,5.505,,,,
310,5.51,,,,
315,5.515,,,,
320,5.52,,,,
325,5.53,,,,
330,5.54,,,,
335,5.55,,,,
340,5.555,,,,
345,5.56,,,,
350,5.565,,,,
355,5.57,,,,
360,5.575,,,,
365,5.58,,,,
370,5.585,,,,
375,5.59,,,,
380,5.59,,,,
385,5.59,,,,
390,5.59,,,,
395,5.6,,,,
400,5.61,,,,
405,5.62,,,,
410,5.63,,,,
415,5.63,,,,
420,5.64,,,,
425,5.65,,,,
430,5.66,,,,
435,5.67,,,,
440,5.68,,,,
445,5.69,,,,
450,5.7,,,,
455,5.72,,,,
460,5.81,,,,
465,5.81,,,,
470,5.81,,,,
475,5.81,,,,
480,5.81,,,,
485,5.81,,,,
490,5.81,,,,
495,5.81,,,,
500,5.81,,,,
505,5.81,,,,
510,5.81,,,,
515,5.81,,,,
520,5.81,,,,
525,5.81,,,,
530,5.81,,,,
535,5.81,,,,
540,5.81,,,,
